Model,Symbol,Name,Weight
All Equity,EFV,iShares MSCI EAFE Value ETF,10
All Equity,SPYG,SPDR® Portfolio S&P 500 Growth ETF,11
All Equity,DYNF,iShares U.S. Equity Fac Rotation Act ETF,10
All Equity,SPMO,Invesco S&P 500® Momentum ETF,11
All Equity,AUSF,Global X Adaptive US Factor ETF,6
All Equity,PVAL,Putnam Focused Large Cap Value ETF,9
All Equity,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,2
All Equity,EDIV,SPDR® S&P Emerging Markets Dividend ETF,5
All Equity,IDMO,Invesco S&P International Dev Momt ETF,9
All Equity,SMH,VanEck Semiconductor ETF,4
All Equity,JQUA,JPMorgan US Quality Factor ETF,11
All Equity,MOAT,VanEck Morningstar Wide Moat ETF,2
All Equity,EQWL,Invesco S&P 100 Equal Weight ETF,10
