Model,Symbol,Name,Weight
Fixed (D),BINC,iShares Flexible Income Active ETF,10
Fixed (D),CARY,Angel Oak Income ETF,10
Fixed (D),TLT,iShares 20+ Year Treasury Bond ETF,8.5
Fixed (D),JBBB,Janus Henderson B-BBB CLO ETF,5
Fixed (D),ICVT,iShares Convertible Bond ETF,5
Fixed (D),GLDM,SPDR® Gold MiniShares,1.5
Fixed (D),XHLF,BondBloxx Bloomberg SixMthTrgDurUSTrsETF,12
Fixed (D),IGEB,iShares Investment Grade Systmtc Bd ETF,5
Fixed (D),HYEM,VanEck EM High Yield Bond ETF,5
Fixed (D),LQDH,iShares Interest Rate Hedged Corp Bd ETF,10
Fixed (D),IUSB,iShares Core Total USD Bond Market ETF,20
Fixed (D),XFIV,BondBloxx Bloomberg FiveYrTrgDurUSTrsETF,8
