Model,Symbol,Name,Price,Target Percent
"AWM Model - Fixed D","BINC","iShares Flexible Income Active ETF",52.88,10.0
"AWM Model - Fixed D","CARY","Angel Oak Income ETF",20.89,10.0
"AWM Model - Fixed D","TLT","iShares 20+ Year Treasury Bond ETF",86.40,8.5
"AWM Model - Fixed D","JBBB","Janus Henderson B-BBB CLO ETF",48.39,5.0
"AWM Model - Fixed D","ICVT","iShares Convertible Bond ETF",92.98,5.0
"AWM Model - Fixed D","GLDM","SPDR® Gold MiniShares",66.13,1.5
"AWM Model - Fixed D","XHLF","BondBloxx Bloomberg SixMthTrgDurUSTrsETF",50.31,12.0
"AWM Model - Fixed D","IGEB","iShares Investment Grade Systmtc Bd ETF",45.47,5.0
"AWM Model - Fixed D","HYEM","VanEck EM High Yield Bond ETF",19.99,5.0
"AWM Model - Fixed D","LQDH","iShares Interest Rate Hedged Corp Bd ETF",93.19,10.0
"AWM Model - Fixed D","IUSB","iShares Core Total USD Bond Market ETF",46.13,20.0
"AWM Model - Fixed D","XFIV","BondBloxx Bloomberg FiveYrTrgDurUSTrsETF",49.19,8.0
