Model,Symbol,Name,Price,Target Percent
"Fixed-Income","BINC","iShares Flexible Income Active ETF",52.63,0.0
"Fixed-Income","CARY","Angel Oak Income ETF",20.80,0.0
"Fixed-Income","TLT","iShares 20+ Year Treasury Bond ETF",87.82,0.0
"Fixed-Income","JBBB","Janus Henderson B-BBB CLO ETF",48.16,0.0
"Fixed-Income","ICVT","iShares Convertible Bond ETF",91.36,0.0
"Fixed-Income","GLDM","SPDR® Gold MiniShares",66.47,0.0
"Fixed-Income","XHLF","BondBloxx Bloomberg SixMthTrgDurUSTrsETF",50.23,0.0
"Fixed-Income","IGEB","iShares Investment Grade Systmtc Bd ETF",45.45,0.0
"Fixed-Income","HYEM","VanEck EM High Yield Bond ETF",19.85,0.0
"Fixed-Income","LQDH","iShares Interest Rate Hedged Corp Bd ETF",92.86,0.0
"Fixed-Income","IUSB","iShares Core Total USD Bond Market ETF",46.18,0.0
"Fixed-Income","XFIV","BondBloxx Bloomberg FiveYrTrgDurUSTrsETF",49.34,0.0
