Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Original Cost Basis,(%)Original UGL Gain/Loss
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,10/4/22,1459,"$52,669.90 ","$32,900.45 ",$22.55 ,"$19,769.45 ",60.09%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,9,$324.90 ,$233.00 ,$25.89 ,$91.90 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,13,$469.30 ,$336.56 ,$25.89 ,$132.74 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,49,"$1,768.90 ","$1,268.58 ",$25.89 ,$500.32 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,35,"$1,263.50 ",$906.13 ,$25.89 ,$357.37 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,6,$216.60 ,$155.34 ,$25.89 ,$61.26 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,13,$469.30 ,$403.36 ,$31.03 ,$65.94 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,35,"$1,263.50 ","$1,085.98 ",$31.03 ,$177.52 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,40,"$1,444.00 ","$1,241.12 ",$31.03 ,$202.88 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,72,"$2,599.20 ","$2,234.02 ",$31.03 ,$365.18 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,16,$577.60 ,$496.45 ,$31.03 ,$81.15 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,7/19/24,241,"$8,700.10 ","$7,785.51 ",$32.31 ,$914.59 ,11.75%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,100,"$13,505.00 ","$5,520.00 ",$55.20 ,"$7,985.00 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,75,"$10,128.75 ","$4,140.00 ",$55.20 ,"$5,988.75 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,50,"$6,752.50 ","$2,760.00 ",$55.20 ,"$3,992.50 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,6/2/04,100,"$13,505.00 ","$5,497.00 ",$54.97 ,"$8,008.00 ",145.68%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,7/11/08,1562.54,"$195,051.87 ","$51,429.51 ",$32.91 ,"$143,622.36 ",279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/08,14.355,"$1,791.93 ",$472.48 ,$32.91 ,"$1,319.45 ",279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/21/09,5.745,$717.15 ,$189.09 ,$32.91 ,$528.06 ,279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/20/10,4.517,$563.86 ,$148.67 ,$32.91 ,$415.19 ,279.27%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/11,2.532,$316.07 ,$83.34 ,$32.91 ,$232.73 ,279.25%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/12,8.601,"$1,073.66 ",$733.87 ,$85.32 ,$339.79 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/13,1.784,$222.70 ,$152.22 ,$85.32 ,$70.48 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/13,68.405,"$8,539.00 ","$5,836.57 ",$85.32 ,"$2,702.43 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/14,1.828,$228.19 ,$155.97 ,$85.32 ,$72.22 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/14,142.916,"$17,840.20 ","$12,194.12 ",$85.32 ,"$5,646.08 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/15,1.894,$236.43 ,$161.60 ,$85.32 ,$74.83 ,46.31%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/15,159.746,"$19,941.09 ","$13,630.12 ",$85.32 ,"$6,310.97 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/16,2.698,$336.79 ,$230.20 ,$85.32 ,$106.59 ,46.30%,Long Term,,
