67308440
43 Records exported
"CostBasis for Single Account as of 10:12PM ET, 08/17/2025"
Total Known Market Value,Total Known Cost Basis,Total Known Unrealized Gain(Loss)$/%, Short Term Unrealized Gain(Loss)$/%, Long Term Unrealized Gain(Loss)$/%
"$4,718,201.83","$1,489,675.48","$3,099,676.57/208.08%","($19,392.43)/(6.93%)","$3,119,069.07/257.79%"
Cost Basis - Unrealized Gain/(Loss)

Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Notes,Original Cost Basis,($)Original UGL Gain/Loss,(%)Original UGL Gain/Loss
AAPL,APPLE INC,05/04/2016,1196.05200,"$276,993.68","$28,097.02","$23.4915","$248,896.66","885.85%",Long Term,,"","",""
AAPL,APPLE INC,05/12/2016,7.37600,"$1,708.21","$171.00","$23.1833","$1,537.21","898.95%",Long Term,,"","",""
AAPL,APPLE INC,08/11/2016,6.34000,"$1,468.28","$172.05","$27.1372","$1,296.23","753.40%",Long Term,,"","",""
AAPL,APPLE INC,11/10/2016,6.23200,"$1,443.27","$172.95","$27.7519","$1,270.32","734.50%",Long Term,,"","",""
AAPL,APPLE INC,05/17/2019,4.93600,"$1,143.13","$234.08","$47.4230","$909.05","388.35%",Long Term,,"","",""
AAPL,APPLE INC,08/16/2019,4.57200,"$1,058.83","$235.03","$51.4064","$823.80","350.51%",Long Term,,"","",""
AAPL,APPLE INC,11/15/2019,3.57200,"$827.24","$235.91","$66.0442","$591.33","250.66%",Long Term,,"","",""
AAPL,APPLE INC,02/14/2020,2.91200,"$674.39","$236.60","$81.2500","$437.79","185.03%",Long Term,,"","",""
AAPL,APPLE INC,05/15/2020,3.32400,"$769.81","$252.56","$75.9807","$517.25","204.80%",Long Term,,"","",""
AAPL,APPLE INC,08/14/2020,2.22400,"$515.06","$253.24","$113.8669","$261.82","103.39%",Long Term,,"","",""
