Model,Symbol,Name,Price,Target Percent
"70/15/15","SPYG","SPDR® Portfolio S&P 500 Growth ETF",99.44,9.0
"70/15/15","SPMO","Invesco S&P 500® Momentum ETF",116.40,9.0
"70/15/15","JQUA","JPMorgan US Quality Factor ETF",61.85,9.0
"70/15/15","EFV","iShares MSCI EAFE Value ETF",68.42,8.2
"70/15/15","DYNF","iShares U.S. Equity Fac Rotation Act ETF",56.98,8.2
"70/15/15","EQWL","Invesco S&P 100 Equal Weight ETF",113.34,8.2
"70/15/15","PVAL","Putnam Focused Large Cap Value ETF",41.81,7.4
"70/15/15","IDMO","Invesco S&P International Dev Momt ETF",53.42,7.4
"70/15/15","AUSF","Global X Adaptive US Factor ETF",46.36,4.9
"70/15/15","EDIV","SPDR® S&P Emerging Markets Dividend ETF",39.22,4.1
"70/15/15","SMH","VanEck Semiconductor ETF",294.00,3.3
"70/15/15","IUSB","iShares Core Total USD Bond Market ETF",46.34,3.0
"70/15/15","XHLF","BondBloxx Bloomberg SixMthTrgDurUSTrsETF",50.36,2.2
"70/15/15","DBEF","Xtrackers MSCI EAFE Hedged Equity ETF",46.26,1.6
"70/15/15","MOAT","VanEck Morningstar Wide Moat ETF",62.51,1.6
"70/15/15","BINC","iShares Flexible Income Active ETF",53.00,1.5
"70/15/15","CARY","Angel Oak Income ETF",20.93,1.5
"70/15/15","LQDH","iShares Interest Rate Hedged Corp Bd ETF",93.23,1.5
"70/15/15","TLT","iShares 20+ Year Treasury Bond ETF",87.03,1.3
"70/15/15","XFIV","BondBloxx Bloomberg FiveYrTrgDurUSTrsETF",49.42,1.2
"70/15/15","JBBB","Janus Henderson B-BBB CLO ETF",48.58,0.8
"70/15/15","ICVT","iShares Convertible Bond ETF",93.80,0.8
"70/15/15","IGEB","iShares Investment Grade Systmtc Bd ETF",45.65,0.8
"70/15/15","HYEM","VanEck EM High Yield Bond ETF",20.11,0.8
"70/15/15","QMNNX","AQR Equity Market Neutral N",11.32,0.6
"70/15/15","BTAL","AGF U.S. Market Neutral Anti-Beta",16.65,0.6
"70/15/15","CTA","Simplify Managed Futures Strategy ETF",27.82,0.5
"70/15/15","CBLS","Clough Hedged Equity ETF",28.06,0.2
"70/15/15","RSEE","Rareview Systematic Equity ETF",31.22,0.2
"70/15/15","GLDM","SPDR® Gold MiniShares",66.72,0.2
"70/15/15","FTLS","First Trust Long/Short Equity ETF",67.75,0.2
"70/15/15","ACIO","Aptus Collared Investment Opp ETF",42.44,0.1
"70/15/15","CLSE","Convergence Long/Short Equity ETF",24.40,0.1
"70/15/15","DBMF","iMGP DBi Managed Futures Strategy ETF",26.15,0.1
