Model,Symbol,Name,Price,Target Percent
"AWM Model - Fixed (D)","BINC","iShares Flexible Income Active ETF",52.63,10.0
"AWM Model - Fixed (D)","CARY","Angel Oak Income ETF",43.98,10.0
"AWM Model - Fixed (D)","TLT","iShares 20+ Year Treasury Bond ETF",24.37,8.5
"AWM Model - Fixed (D)","JBBB","Janus Henderson B-BBB CLO ETF",50.90,5.0
"AWM Model - Fixed (D)","ICVT","iShares Convertible Bond ETF",113.08,5.0
"AWM Model - Fixed (D)","GLDM","SPDR® Gold MiniShares",47.81,1.5
"AWM Model - Fixed (D)","XHLF","BondBloxx Bloomberg SixMthTrgDurUSTrsETF",66.47,12.0
"AWM Model - Fixed (D)","IGEB","iShares Investment Grade Systmtc Bd ETF",20.80,5.0
"AWM Model - Fixed (D)","HYEM","VanEck EM High Yield Bond ETF",87.82,5.0
"AWM Model - Fixed (D)","LQDH","iShares Interest Rate Hedged Corp Bd ETF",48.16,10.0
"AWM Model - Fixed (D)","IUSB","iShares Core Total USD Bond Market ETF",91.36,20.0
"AWM Model - Fixed (D)","XFIV","BondBloxx Bloomberg FiveYrTrgDurUSTrsETF",50.23,8.0
